1.000000e-03, 2.291000e+03
1.005742e-03, 2.267000e+03
1.011518e-03, 2.243000e+03
1.017327e-03, 2.219000e+03
1.023168e-03, 2.195000e+03
1.029044e-03, 2.172000e+03
1.034953e-03, 2.149000e+03
1.040896e-03, 2.126000e+03
1.046874e-03, 2.103000e+03
1.052885e-03, 2.081000e+03
1.058931e-03, 2.059000e+03
1.065012e-03, 2.037000e+03
1.071128e-03, 2.016000e+03
1.077279e-03, 1.994000e+03
1.083465e-03, 1.973000e+03
1.089687e-03, 1.952000e+03
1.095945e-03, 1.931000e+03
1.102238e-03, 1.911000e+03
1.108568e-03, 1.890000e+03
1.114933e-03, 1.871000e+03
1.121336e-03, 1.851000e+03
1.127775e-03, 1.831000e+03
1.134251e-03, 1.811000e+03
1.140765e-03, 1.792000e+03
1.147316e-03, 1.773000e+03
1.153904e-03, 1.754000e+03
1.160530e-03, 1.736000e+03
1.167195e-03, 1.717000e+03
1.173897e-03, 1.699000e+03
1.180638e-03, 1.681000e+03
1.187418e-03, 1.946000e+03
1.194237e-03, 2.298000e+03
1.201094e-03, 2.718000e+03
1.207992e-03, 3.208000e+03
1.214929e-03, 3.783000e+03
1.221905e-03, 4.820000e+03
1.228922e-03, 4.826000e+03
1.235979e-03, 4.832000e+03
1.243077e-03, 4.838000e+03
1.250215e-03, 4.844000e+03
1.257394e-03, 4.850000e+03
1.264615e-03, 4.856000e+03
1.271877e-03, 4.863000e+03
1.279180e-03, 4.869000e+03
1.286526e-03, 4.875000e+03
1.293914e-03, 4.881000e+03
1.301344e-03, 4.887000e+03
1.308817e-03, 4.893000e+03
1.316333e-03, 4.899000e+03
1.323892e-03, 4.905000e+03
1.331494e-03, 4.912000e+03
1.339140e-03, 4.918000e+03
1.346830e-03, 4.924000e+03
1.354565e-03, 4.930000e+03
1.362343e-03, 4.936000e+03
1.370166e-03, 4.943000e+03
1.378034e-03, 4.949000e+03
1.385948e-03, 4.955000e+03
1.393906e-03, 4.961000e+03
1.401911e-03, 4.967000e+03
1.409961e-03, 4.974000e+03
1.418058e-03, 4.980000e+03
1.426201e-03, 4.986000e+03
1.434391e-03, 4.992000e+03
1.442628e-03, 4.999000e+03
1.450912e-03, 5.005000e+03
1.459244e-03, 5.011000e+03
1.467624e-03, 5.017000e+03
1.476051e-03, 5.024000e+03
1.484528e-03, 5.030000e+03
1.493052e-03, 5.036000e+03
1.501626e-03, 5.029000e+03
1.510249e-03, 4.959000e+03
1.518922e-03, 4.891000e+03
1.527644e-03, 4.824000e+03
1.536417e-03, 4.757000e+03
1.545239e-03, 5.422000e+03
1.554113e-03, 5.351000e+03
1.563037e-03, 5.281000e+03
1.572013e-03, 5.211000e+03
1.581040e-03, 5.143000e+03
1.590119e-03, 5.075000e+03
1.599251e-03, 5.008000e+03
1.608434e-03, 4.943000e+03
1.617671e-03, 4.878000e+03
1.626960e-03, 4.814000e+03
1.636303e-03, 4.751000e+03
1.645699e-03, 4.689000e+03
1.655149e-03, 4.628000e+03
1.664654e-03, 4.567000e+03
1.674213e-03, 4.507000e+03
1.683827e-03, 4.448000e+03
1.693497e-03, 4.661000e+03
1.703222e-03, 4.602000e+03
1.713002e-03, 4.544000e+03
1.722839e-03, 4.487000e+03
1.732732e-03, 4.430000e+03
1.742683e-03, 4.374000e+03
1.752690e-03, 4.319000e+03
1.762755e-03, 4.264000e+03
1.772877e-03, 4.210000e+03
1.783058e-03, 4.157000e+03
1.793297e-03, 4.105000e+03
1.803595e-03, 4.053000e+03
1.813952e-03, 4.001000e+03
1.824369e-03, 3.950000e+03
1.834845e-03, 3.901000e+03
1.845382e-03, 3.851000e+03
1.855979e-03, 3.802000e+03
1.866636e-03, 3.754000e+03
1.877356e-03, 3.706000e+03
1.888136e-03, 3.821000e+03
1.898979e-03, 3.772000e+03
1.909884e-03, 3.724000e+03
1.920851e-03, 3.677000e+03
1.931881e-03, 3.630000e+03
1.942975e-03, 3.584000e+03
1.954133e-03, 3.539000e+03
1.965354e-03, 3.493000e+03
1.976640e-03, 3.449000e+03
1.987991e-03, 3.405000e+03
1.999407e-03, 3.362000e+03
2.010888e-03, 3.317000e+03
2.022436e-03, 3.273000e+03
2.034050e-03, 3.229000e+03
2.045730e-03, 3.185000e+03
2.057478e-03, 3.142000e+03
2.069293e-03, 3.100000e+03
2.081175e-03, 3.059000e+03
2.093126e-03, 3.018000e+03
2.105146e-03, 2.977000e+03
2.117235e-03, 2.937000e+03
2.129393e-03, 2.898000e+03
2.141621e-03, 2.859000e+03
2.153919e-03, 2.821000e+03
2.166288e-03, 2.783000e+03
2.178728e-03, 2.745000e+03
2.191239e-03, 2.709000e+03
2.203822e-03, 2.672000e+03
2.216478e-03, 2.636000e+03
2.229206e-03, 2.601000e+03
2.242007e-03, 2.566000e+03
2.254881e-03, 2.532000e+03
2.267830e-03, 2.498000e+03
2.280853e-03, 2.464000e+03
2.293951e-03, 2.431000e+03
2.307124e-03, 2.399000e+03
2.320372e-03, 2.366000e+03
2.333697e-03, 2.335000e+03
2.347098e-03, 2.303000e+03
2.360576e-03, 2.272000e+03
2.374132e-03, 2.242000e+03
2.387765e-03, 2.212000e+03
2.401477e-03, 2.182000e+03
2.415267e-03, 2.153000e+03
2.429137e-03, 2.124000e+03
2.443086e-03, 2.096000e+03
2.457115e-03, 2.068000e+03
2.471225e-03, 2.040000e+03
2.485416e-03, 2.013000e+03
2.499688e-03, 1.985000e+03
2.514043e-03, 1.959000e+03
2.528479e-03, 1.933000e+03
2.542999e-03, 1.907000e+03
