10.2433	0.00126
11.939	0.00198
14.731	0.00198
17.17	0.00198
21.653	0.00198
27.669	0.00055
32.963	0.00198
39.617	0.00126
46.787	0.00055
55.013	0.00126
64.402	0.00126
73.424	0.01205
84.821	0.01924
92.976	0.02571
104.65	0.0214
111.774	0.01205
123.62	0.01133
140.34	0.01277
161.44	0.01493
182.46	0.02284
199.1	0.0365
214.41	0.0516
233.93	0.0703
246.46	0.08827
263.07	0.10912
285.75	0.1307
303.68	0.15155
324.14	0.17312
340.01	0.18966
355.09	0.20692
372.47	0.22418
394.11	0.24503
411.57	0.26516
435.46	0.28817
454.76	0.30687
468.75	0.32341
491.71	0.33851
511.54	0.33275
518.46	0.31837
530.1	0.30327
544.36	0.28961
586.12	0.31334
598.87	0.3306
619.96	0.35001
647.38	0.37374
664.26	0.39819
693.61	0.42408
711.75	0.44493
743.17	0.47225
782.52	0.51612
827.7	0.55279
883.06	0.59665
938.17	0.63189
1001.03	0.67
1101.07	0.71961
1174.9	0.75413
1253.9	0.78433
1373.6	0.81741
1459.8	0.83682
1558.5	0.84833
1587.6	0.80159
1596.5	0.74694
1619.2	0.7002
1634.7	0.66353
1650.1	0.63261
1658.1	0.61175
1703.3	0.58155
1786.5	0.60456
1809.1	0.63045
1872.8	0.64914
1963.8	0.68222
2087	0.70379
2189	0.72393
2306	0.74622
2418.7	0.76635
2649.8	0.79727
2828	0.8246
2966.3	0.84401
3264	0.87565
3592.5	0.89507
3903.3	0.90441
4337	0.89075
4674.1	0.8699
4950.8	0.84114
5152.9	0.81165
5386.5	0.78577
5582.5	0.75125
5888	0.71602
6103.4	0.67287
6380.9	0.64052
6644.1	0.59234
6977.8	0.55207
7297	0.50677
7665.4	0.45428
8196	0.39459
8645.8	0.35217
9119.3	0.31478
9662	0.27235
10101.9	0.23712
10890.1	0.20332
11637	0.17096
12599	0.1422
13822	0.10912
15294	0.08252
17759	0.05448
20800	0.03218
24463	0.0214
29404	0.01493
